country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
European Union - 27 countries (from 2020),0.20,0.17,0.18,0.19,0.19,0.19,0.20,0.20,0.21,0.21,0.20,0.21,0.22,0.22,0.23,0.24,0.25,0.26,0.25
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.22,0.18,0.19,0.19,0.20,0.20,0.21,0.21,0.22,0.22,0.21,0.22,0.23,0.23,0.24,0.26,0.27,0.27,0.27
Belgium,0.16,0.19,0.20,0.23,0.20,0.20,0.21,0.21,0.22,0.23,0.24,0.24,0.24,0.24,0.24,0.27,0.28,0.27,0.30
Bulgaria,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.09,0.09,0.09,0.10,0.10,0.10,0.11
Czechia,0.13,0.13,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.18,0.21,0.21,0.21
Denmark,0.21,0.25,0.26,0.27,0.27,0.26,0.26,0.27,0.28,0.29,0.29,0.29,0.28,0.27,0.28,0.35,0.32,0.31,0.30
Germany,0.23,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.29,0.29,0.30,0.32,0.32,0.32,0.33,0.35,0.35,0.35
Estonia,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.10,0.11,0.11,0.11,0.13,0.13,0.15,0.16,0.16,0.16,0.15
Ireland,0.17,0.24,0.23,0.25,0.24,0.23,0.23,0.24,0.24,0.27,0.28,0.30,0.30,0.30,0.31,0.33,0.35,0.30,0.28
Greece,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.14,0.14,0.14,0.16,0.15,0.17,0.18,0.19,0.21,0.22,0.21,0.21
Spain,0.13,0.17,0.17,0.19,0.19,0.20,0.22,0.22,0.23,0.24,0.23,0.25,0.24,0.25,0.27,0.30,0.28,0.29,0.28
France,0.11,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.16,0.18,0.18,0.19,0.19,0.20,0.21,0.22,0.22
Croatia,0.10,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15
Italy,0.24,0.24,0.22,0.23,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.25,0.25,0.24,0.26,0.29,0.30,0.29,0.29
Cyprus,0.16,0.17,0.18,0.20,0.16,0.18,0.20,0.21,0.20,0.23,0.26,0.28,0.27,0.24,0.23,0.26,0.25,0.24,0.20
Latvia,0.07,0.08,0.09,0.10,0.11,0.11,0.11,0.11,0.13,0.14,0.14,0.13,0.14,0.13,0.15,0.16,0.20,0.19,0.17
Lithuania,0.08,0.09,0.09,0.09,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.14,0.15,0.17,0.15,0.15
Luxembourg,0.19,0.17,0.17,0.17,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19
Hungary,0.13,0.14,0.16,0.16,0.15,0.17,0.17,0.15,0.16,0.15,0.15,0.16,0.14,0.13,0.12,0.12,0.12,0.12,0.12
Malta,0.13,0.11,0.10,0.16,0.20,0.19,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.23,0.22,0.22,0.21,0.22
Netherlands,0.17,0.17,0.17,0.17,0.20,0.18,0.18,0.17,0.19,0.17,0.18,0.18,0.20,0.17,0.18,0.15,0.26,0.20,0.20
Austria,0.16,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.25,0.25,0.26
Poland,0.10,0.13,0.13,0.14,0.12,0.14,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.18,0.19,0.16
Portugal,0.15,0.16,0.18,0.19,0.19,0.20,0.20,0.21,0.21,0.23,0.24,0.23,0.23,0.24,0.25,0.25,0.25,0.27,0.26
Romania,0.11,0.11,0.10,0.11,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.13,0.14,0.18,0.15,0.15,0.15
Slovenia,0.10,0.14,0.13,0.14,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.17
Slovakia,0.11,0.15,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.16,0.17,0.18,0.17,0.16
Finland,0.10,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.20,0.20,0.19
Sweden,0.17,0.18,0.18,0.19,0.18,0.19,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.21,0.23
Norway,0.11,0.19,0.20,0.21,0.20,0.20,0.24,0.23,0.25,0.23,0.23,0.23,0.24,0.22,0.21,0.21,0.20,0.18,0.18
United Kingdom of Great Britain and Northern Ireland,0.13,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.16,0.17,0.18,0.18,0.19,0.20,0.21,0.22,0.23,0.21
Albania,NA,NA,NA,NA,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.09,0.09
Serbia,NA,NA,NA,NA,NA,NA,0.06,0.06,0.06,0.06,0.07,0.07,0.09,0.10,0.09,0.10,0.09,0.11,0.11
Türkiye,0.09,0.09,0.10,0.12,0.12,0.12,0.14,0.14,0.12,0.12,0.13,0.14,0.14,0.12,0.11,0.12,0.11,0.10,0.11
