Year,5th percentile,Weighted average,95th percentile
1984, 4492 , 5698 , 5568 
1985, 4534 , 5582 , 5628 
1986, 4354 , 4920 , 5019 
1987, 4124 , 4757 , 4887 
1988, 3644 , 3653 , 3667 
1989, 3369 , 3423 , 3708 
1990, 3779 , 3860 , 4114 
1991, 3393 , 3797 , 4079 
1992, 3358 , 3736 , 4926 
1993, 2847 , 3595 , 3714 
1994, 1681 , 3461 , 3644 
1995, 2417 , 3163 , 3360 
1996, 2487 , 3009 , 3274 
1997, 1656 , 2817 , 3230 
1998, 1922 , 2824 , 7722 
1999, 1698 , 2640 , 3087 
2000, 1149 , 2565 , 2909 
2001, 1309 , 2410 , 3765 
2002, 1245 , 2390 , 2817 
2003,726, 2258 , 2650 
2004, 1289 , 2287 , 3048 
2005, 1361 , 2159 , 3496 
2006, 1468 , 2205 , 3166 
2007, 1246 , 2217 , 2966 
2008, 1367 , 2340 , 3233 
2009, 1481 , 2392 , 3267 
2010, 1415 , 2272 , 3195 
2011, 1429 , 2247 , 3249 
2012, 1452 , 2114 , 3411 
2013, 1397 , 2183 , 3517 
2014, 1352 , 2104 , 3500 
2015, 1382 , 1911 , 3403 
2016, 1364 , 1915 , 3012 
2017, 1348 , 1917 , 3067 
2018, 1349 , 1819 , 2778 
2019, 1287 , 1725 , 2799 
2020, 1208 , 1552 , 2611 
2021,991, 1471 , 2374 
2022,831, 1322 , 2080 
2023,777, 1160 , 2115 
